DATE,AHEMAN
2005-05-01,16.50
2005-06-01,16.52
2005-07-01,16.49
2005-08-01,16.59
2005-09-01,16.65
2005-10-01,16.69
2005-11-01,16.69
2005-12-01,16.79
2006-01-01,16.74
2006-02-01,16.70
2006-03-01,16.69
2006-04-01,16.74
2006-05-01,16.74
2006-06-01,16.76
2006-07-01,16.70
2006-08-01,16.80
2006-09-01,16.89
2006-10-01,16.90
2006-11-01,16.94
2006-12-01,17.11
2007-01-01,17.06
2007-02-01,17.05
2007-03-01,17.08
2007-04-01,17.21
2007-05-01,17.21
2007-06-01,17.28
2007-07-01,17.22
2007-08-01,17.32
2007-09-01,17.40
2007-10-01,17.35
2007-11-01,17.43
2007-12-01,17.53
2008-01-01,17.55
2008-02-01,17.57
2008-03-01,17.62
2008-04-01,17.65
2008-05-01,17.65
2008-06-01,17.73
2008-07-01,17.74
2008-08-01,17.76
2008-09-01,17.85
2008-10-01,17.87
2008-11-01,17.95
2008-12-01,18.07
2009-01-01,18.05
2009-02-01,18.10
2009-03-01,18.12
2009-04-01,18.16
2009-05-01,18.12
2009-06-01,18.15
2009-07-01,18.22
2009-08-01,18.27
2009-09-01,18.45
2009-10-01,18.34
2009-11-01,18.41
2009-12-01,18.48
2010-01-01,18.49
2010-02-01,18.49
2010-03-01,18.47
2010-04-01,18.52
2010-05-01,18.57
2010-06-01,18.54
2010-07-01,18.56
2010-08-01,18.58
2010-09-01,18.75
2010-10-01,18.70
2010-11-01,18.75
2010-12-01,18.86
2011-01-01,18.97
2011-02-01,18.93
2011-03-01,18.90
2011-04-01,18.92
2011-05-01,18.91
2011-06-01,18.87
2011-07-01,18.90
2011-08-01,18.82
2011-09-01,18.93
2011-10-01,18.96
2011-11-01,18.95
2011-12-01,19.07
2012-01-01,19.10
2012-02-01,19.03
2012-03-01,19.02
2012-04-01,19.14
2012-05-01,19.01
2012-06-01,19.04
2012-07-01,19.08
2012-08-01,19.00
2012-09-01,19.07
2012-10-01,19.08
2012-11-01,19.16
2012-12-01,19.22
2013-01-01,19.23
2013-02-01,19.23
2013-03-01,19.21
2013-04-01,19.26
2013-05-01,19.22
2013-06-01,19.23
2013-07-01,19.23
2013-08-01,19.26
2013-09-01,19.34
2013-10-01,19.34
2013-11-01,19.43
2013-12-01,19.55
2014-01-01,19.50
2014-02-01,19.49
2014-03-01,19.53
2014-04-01,19.52
2014-05-01,19.51
2014-06-01,19.50
2014-07-01,19.56
2014-08-01,19.56
2014-09-01,19.60
2014-10-01,19.60
2014-11-01,19.66
2014-12-01,19.71
2015-01-01,19.68
2015-02-01,19.72
2015-03-01,19.78
2015-04-01,19.80
2015-05-01,19.83
2015-06-01,19.85
2015-07-01,19.91
2015-08-01,19.94
2015-09-01,20.09
2015-10-01,20.01
2015-11-01,20.06
2015-12-01,20.19
2016-01-01,20.17
2016-02-01,20.19
2016-03-01,20.27
2016-04-01,20.39
2016-05-01,20.40
2016-06-01,20.40
2016-07-01,20.46
2016-08-01,20.50
2016-09-01,20.57
2016-10-01,20.61
2016-11-01,20.59
2016-12-01,20.67
2017-01-01,20.68
2017-02-01,20.64
2017-03-01,20.69
2017-04-01,20.85
2017-05-01,20.77
2017-06-01,20.77
2017-07-01,20.90
2017-08-01,20.88
2017-09-01,21.03
2017-10-01,21.10
2017-11-01,21.15
2017-12-01,21.31
2018-01-01,21.34
2018-02-01,21.33
2018-03-01,21.39
2018-04-01,21.56
2018-05-01,21.40
2018-06-01,21.39
2018-07-01,21.43
2018-08-01,21.51
2018-09-01,21.63
2018-10-01,21.69
2018-11-01,21.83
2018-12-01,21.95
2019-01-01,21.86
