"Index","earning_a","earning_u","gnp_a","pricedef_a","unemp_a","earningdefl_a"
"1974-10-01",4.42666666666667,4.41666666666667,5673.236,28.432,4.66666666666667,15.5693115738135
"1975-01-01",4.51666666666667,4.53666666666667,5596.695,29.08,6.06666666666667,15.5318661164603
"1975-04-01",4.61333333333333,4.60666666666667,5636.704,29.512,7.3,15.632059275323
"1975-07-01",4.68,4.67,5735.925,30.036,7.56666666666667,15.5813024370755
"1975-10-01",4.77666666666667,4.77,5821.383,30.539,7.2,15.6412019603349
"1976-01-01",4.86333333333333,4.88333333333333,5949.453,30.864,6.96666666666667,15.7573008467254
"1976-04-01",4.96666666666667,4.96333333333333,5994.821,31.177,6.43333333333333,15.9305470913387
"1976-07-01",5.07333333333333,5.06333333333333,6027.968,31.581,6.43333333333333,16.064511362317
"1976-10-01",5.18333333333333,5.18333333333333,6072.616,32.147,6.5,16.123847741106
"1977-01-01",5.29666666666667,5.32,6151.879,32.663,6.53333333333333,16.2161058894366
"1977-04-01",5.40333333333333,5.4,6268.879,33.126,6.26666666666667,16.3114572641832
"1977-07-01",5.53666666666667,5.52666666666667,6380.187,33.531,5.9,16.5120833457596
"1977-10-01",5.65,5.64333333333333,6373.154,34.254,5.73333333333333,16.4944240088749
"1978-01-01",5.76666666666667,5.79333333333333,6402.241,34.751,5.5,16.5942466883447
"1978-04-01",5.89,5.88666666666667,6636.139,35.418,5.06666666666667,16.6299621661302
"1978-07-01",6.01,6,6707.357,36.019,5,16.6856381354285
"1978-10-01",6.14666666666667,6.13666666666667,6805.616,36.757,4.83333333333333,16.7224383564128
"1979-01-01",6.31,6.33666666666667,6819.42,37.427,4.83333333333333,16.8594864669891
"1979-04-01",6.42666666666667,6.43,6835.154,38.341,4.83333333333333,16.7618650183007
"1979-07-01",6.55666666666667,6.54666666666667,6900.733,39.179,4.66666666666667,16.7351557381931
"1979-10-01",6.67,6.65,6917.062,39.907,4.9,16.713859723858
"1980-01-01",6.78666666666667,6.81333333333333,6940.239,40.745,5.03333333333333,16.6564404630425
"1980-04-01",6.93333333333333,6.93,6791.942,41.714,5.53333333333333,16.6211184094868
"1980-07-01",7.09333333333333,7.08333333333333,6778.881,42.646,6.53333333333333,16.6330566368085
"1980-10-01",7.30666666666667,7.28333333333333,6888.213,43.757,6.56666666666667,16.6982806560474
"1981-01-01",7.52333333333333,7.55333333333333,7026.353,44.911,6.33333333333333,16.7516495587569
"1981-04-01",7.68666666666667,7.68666666666667,6970.651,45.8,6.23333333333333,16.783114992722
"1981-07-01",7.85,7.84666666666667,7057.542,46.664,6.33333333333333,16.8223898508486
"1981-10-01",8.02,7.99,6990.346,47.472,6.56666666666667,16.8941691944725
"1982-01-01",8.14333333333333,8.17,6878.67,48.124,7.33333333333333,16.921563738121
"1982-04-01",8.24333333333333,8.24333333333333,6919.088,48.748,7.93333333333333,16.9100954569076
"1982-07-01",8.36666666666667,8.36333333333333,6879.868,49.439,8.46666666666667,16.9232117693858
"1982-10-01",8.44,8.41,6879.856,49.952,9,16.8962203715567
"1983-01-01",8.49,8.52,6968.801,50.331,9.6,16.8683316445133
"1983-04-01",8.59666666666667,8.60333333333333,7130.323,50.707,9.3,16.9536092978616
"1983-07-01",8.67,8.67,7272.82,51.246,8.8,16.9183936307224
"1983-10-01",8.75666666666667,8.72333333333333,7425.819,51.636,8.16666666666667,16.958452759057
"1984-01-01",8.87333333333333,8.90333333333333,7563.544,52.159,7.4,17.0120848431399
"1984-04-01",8.95333333333333,8.96666666666667,7693.366,52.606,6.9,17.0196048612959
"1984-07-01",9.02333333333333,9.02,7766.091,53.072,6.53333333333333,17.0020600944629
"1984-10-01",9.12,9.08,7821.249,53.467,6.56666666666667,17.0572502665195
"1985-01-01",9.22666666666667,9.25333333333333,7882.146,53.994,6.43333333333333,17.088318455137
"1985-04-01",9.32,9.33666666666667,7953.695,54.347,6.43333333333333,17.1490606657221
"1985-07-01",9.39333333333333,9.38666666666667,8064.748,54.673,6.46666666666667,17.1809363549345
"1985-10-01",9.44333333333333,9.40666666666667,8129.537,54.981,6.26666666666667,17.1756303692791
"1986-01-01",9.52333333333333,9.56,8198.904,55.252,6.06666666666667,17.2361784792104
"1986-04-01",9.56666666666667,9.58,8223.063,55.464,6.26666666666667,17.2484254050676
"1986-07-01",9.59,9.58,8305.315,55.697,6.26666666666667,17.218162558127
"1986-10-01",9.61,9.57666666666667,8338.152,56.003,6.16666666666667,17.1597950109816
"1987-01-01",9.65666666666667,9.68666666666667,8403.205,56.366,5.96666666666667,17.1320772569752
"1987-04-01",9.70333333333333,9.72,8499.673,56.759,5.7,17.0956735202053
"1987-07-01",9.73666666666667,9.73,8572.009,57.19,5.46666666666667,17.0251209418896
"1987-10-01",9.83,9.79333333333333,8721.613,57.646,5.23333333333333,17.052354022829
"1988-01-01",9.89,9.92,8775.398,58.098,5.03333333333333,17.0229612034838
"1988-04-01",9.95,9.95666666666667,8885.937,58.664,4.86666666666667,16.9609982271921
"1988-07-01",10.0366666666667,10.03,8932.772,59.366,4.83333333333333,16.9064223068198
"1988-10-01",10.1166666666667,10.0866666666667,9055.015,59.88,4.76666666666667,16.894900912937
"1989-01-01",10.2066666666667,10.2366666666667,9145.538,60.507,4.7,16.8685716804116
"1989-04-01",10.2766666666667,10.28,9213.172,61.153,4.5,16.8048446791926
"1989-07-01",10.33,10.3233333333333,9284.968,61.601,4.56666666666667,16.7692082920732
"1989-10-01",10.41,10.3833333333333,9313.068,62.042,4.63333333333333,16.7789561909674
"1990-01-01",10.4833333333333,10.5,9411.316,62.714,4.7,16.7160974157817
"1990-04-01",10.6733333333333,10.66,9447.76,63.419,4.66666666666667,16.8298669694151
"1990-07-01",10.7766666666667,10.7833333333333,9445.905,63.967,4.76666666666667,16.8472285188717
"1990-10-01",10.86,10.85,9395.226,64.45,5.13333333333333,16.8502715283165
"1991-01-01",10.9266666666667,10.96,9333.469,65.084,5.56666666666667,16.7885604244771
"1991-04-01",11.0066666666667,10.9966666666667,9388.478,65.564,6,16.787668029203
"1991-07-01",11.1333333333333,11.13,9430.024,66.077,6.16666666666667,16.8490296674082
"1991-10-01",11.2133333333333,11.1966666666667,9474.704,66.469,6.23333333333333,16.8700196081381
"1992-01-01",11.2566666666667,11.2833333333333,9586.727,66.716,6.46666666666667,16.8725143393889
"1992-04-01",11.3266666666667,11.32,9689.024,67.115,6.7,16.8765055005091
"1992-07-01",11.41,11.4033333333333,9780.022,67.442,6.9,16.918240858812
"1992-10-01",11.46,11.44,9883.046,67.905,6.8,16.8765186657831
"1993-01-01",11.5166666666667,11.5433333333333,9909.231,68.286,6.63333333333333,16.8653408702614
"1993-04-01",11.5933333333333,11.5933333333333,9956.877,68.692,6.36666666666667,16.8772685805237
"1993-07-01",11.6733333333333,11.66,10012.144,69.099,6.26666666666667,16.8936357014332
